Distancia,RSS,Throughput
15,-53.4311,49.0045
17.5,-54.8687,49.9712
20,-56.1118,49.9876
22.5,-57.2014,50.004
25,-58.1705,50.004
27.5,-59.0403,50.004
30,-59.83,50.004
32.5,-60.5553,49.9876
35,-61.2249,50.004
37.5,-61.8462,49.9712
40,-62.4263,50.0531
42.5,-62.9691,49.9712
45,-63.4802,50.0204
47.5,-63.9634,49.9712
50,-64.421,50.0204
52.5,-64.8553,50.004
55,-65.2689,49.9876
57.5,-65.6643,49.9876
60,-66.0415,50.004
62.5,-66.4035,50.0531
65,-66.7512,49.922
67.5,-67.0854,50.0367
70,-67.4075,50.004
72.5,-67.7174,49.9876
75,-68.017,50.0204
77.5,-68.307,50.004
80,-68.5873,49.9876
82.5,-68.8585,49.9876
85,-69.122,50.004
87.5,-69.3775,50.004
90,-69.6254,50.004
92.5,-69.867,50.004
95,-70.1022,50.004
97.5,-70.3303,49.9712
100,-70.5529,50.0204
102.5,-70.7701,49.9712
105,-70.9818,50.0204
107.5,-71.1889,50.004
110,-71.3913,50.004
112.5,-71.5885,49.9712
115,-71.7812,50.0204
117.5,-71.9702,50.004
120,-72.1553,50.0204
122.5,-72.3363,49.9384
125,-72.5138,50.0695
127.5,-72.6874,49.9548
130,-72.8575,50.0204
132.5,-73.0247,49.9876
135,-73.1885,49.791
137.5,-73.3493,50.004
140,-73.507,49.9712
142.5,-73.6618,50.0695
145,-73.814,49.9876
147.5,-73.964,49.9384
150,-74.1112,50.0531
152.5,-74.2558,50.0204
155,-74.3982,49.922
157.5,-74.5386,50.0367
160,-74.6765,49.9876
162.5,-74.8111,48.7752
165,-74.9457,45.8424
167.5,-75.0767,45.7441
170,-75.2064,45.9571
172.5,-75.3342,45.9899
175,-75.4603,45.9735
177.5,-75.5848,45.7933
180,-75.7069,45.3673
182.5,-75.8273,45.9407
185,-75.9466,45.5148
187.5,-76.0618,43.5651
190,-76.1793,34.603
192.5,-76.2937,34.5047
195,-76.4069,34.4392
197.5,-76.5182,34.4883
200,-76.628,34.4392
202.5,-76.7369,34.5211
205,-76.844,34.4064
207.5,-76.95,34.4064
210,-77.0548,34.39
212.5,-77.1582,34.3572
215,-77.2604,34.4064
217.5,-77.3609,34.3572
220,-77.4607,34.5211
222.5,-77.5597,34.4556
225,-77.6578,34.4556
227.5,-77.754,34.5211
230,-77.8493,34.4228
232.5,-77.944,34.5702
235,-78.0373,34.3409
237.5,-78.1297,34.5211
240,-78.2212,34.3081
242.5,-78.3115,34.5211
245,-78.4014,34.4392
247.5,-78.49,34.39
250,-78.5778,34.4556
252.5,-78.6644,34.4883
255,-78.7501,34.5539
257.5,-78.8355,34.4883
260,-78.9202,34.5047
262.5,-79.0034,34.5211
265,-79.0859,34.4392
267.5,-79.1683,34.3736
270,-79.2497,34.3736
272.5,-79.33,34.4883
275,-79.4096,34.3572
277.5,-79.4886,34.4719
280,-79.5667,34.39
282.5,-79.644,34.5211
285,-79.7211,34.4064
287.5,-79.7975,34.5211
290,-79.8732,34.4228
292.5,-79.9478,34.4064
295,-80.022,34.2753
297.5,-80.0957,34.3409
300,-80.1685,34.3081
302.5,-80.2412,33.7183
305,-80.313,34.6194
307.5,-80.3839,34.2098
310,-80.4546,34.3081
312.5,-80.5225,24.8381
315,-80.5942,23.0195
317.5,-80.6631,22.8884
320,-80.7317,23.0523
322.5,-80.7994,22.954
325,-80.8668,22.8884
327.5,-80.9336,22.9704
330,-80.9999,22.9376
332.5,-81.0657,22.9868
335,-81.1307,23.0687
337.5,-81.1957,22.9704
340,-81.2602,23.0359
342.5,-81.3243,23.0195
345,-81.3874,22.954
347.5,-81.4504,22.9212
350,-81.5129,22.9704
352.5,-81.5748,22.9704
355,-81.6367,22.9868
357.5,-81.6978,22.9376
360,-81.7585,22.9868
362.5,-81.8188,22.8884
365,-81.8788,22.9212
367.5,-81.9382,22.9376
370,-81.984,12.4355
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
