Distancia,RSS,Throughput
15,-53.4236,49.2667
17.5,-54.8669,49.9712
20,-56.1134,49.9876
22.5,-57.2024,50.0204
25,-58.1704,50.004
27.5,-59.0408,50.004
30,-59.8314,50.0531
32.5,-60.5556,49.9712
35,-61.2244,50.004
37.5,-61.8455,49.9712
40,-62.4251,50.004
42.5,-62.9689,49.9876
45,-63.4807,50.004
47.5,-63.9637,50.0204
50,-64.4207,50.004
52.5,-64.8549,50.004
55,-65.2684,49.9712
57.5,-65.6637,50.0204
60,-66.0421,49.9876
62.5,-66.404,49.9712
65,-66.7513,50.0531
67.5,-67.0853,50.004
70,-67.4076,50.0204
72.5,-67.718,49.9384
75,-68.0172,50.004
77.5,-68.307,50.0204
80,-68.5872,49.9712
82.5,-68.8588,50.0531
85,-69.1219,49.9876
87.5,-69.3775,50.004
90,-69.6256,49.9876
92.5,-69.8669,49.9876
95,-70.1021,50.004
97.5,-70.3305,50.0204
100,-70.5533,50.004
102.5,-70.7706,49.9548
105,-70.9824,50.0204
107.5,-71.1891,49.9876
110,-71.391,50.0531
112.5,-71.5885,49.9712
115,-71.7815,50.004
117.5,-71.9703,49.9876
120,-72.1553,50.0204
122.5,-72.3365,49.9876
125,-72.5138,49.9712
127.5,-72.6873,50.0367
130,-72.8576,49.9548
132.5,-73.0249,50.0204
135,-73.1883,49.791
137.5,-73.3486,49.9876
140,-73.5068,50.004
142.5,-73.6623,49.9876
145,-73.8148,50.0531
147.5,-73.9642,50.0367
150,-74.1114,49.9057
152.5,-74.2564,50.0531
155,-74.3988,49.9712
157.5,-74.5389,49.9876
160,-74.6765,49.9876
162.5,-74.8108,48.7424
165,-74.9459,46.121
167.5,-75.0771,45.8916
170,-75.2068,45.826
172.5,-75.3345,45.8752
175,-75.4601,45.8424
177.5,-75.5846,45.8916
180,-75.7068,45.5967
182.5,-75.8275,45.4492
185,-75.9467,45.6458
187.5,-76.062,43.647
190,-76.1799,34.4883
192.5,-76.2941,34.3572
195,-76.407,34.4064
197.5,-76.5182,34.4719
200,-76.6281,34.4228
202.5,-76.7366,34.5211
205,-76.844,34.4883
207.5,-76.9503,34.5047
210,-77.0549,34.4064
212.5,-77.1584,34.39
215,-77.2606,34.39
217.5,-77.3613,34.5375
220,-77.461,34.4556
222.5,-77.5596,34.4392
225,-77.6576,34.4556
227.5,-77.7541,34.4719
230,-77.8492,34.4556
232.5,-77.9442,34.4392
235,-78.0374,34.4883
237.5,-78.1296,34.4719
240,-78.221,34.2753
242.5,-78.3114,34.3736
245,-78.4009,34.39
247.5,-78.49,34.5375
250,-78.5775,34.4719
252.5,-78.6643,34.3736
255,-78.7503,34.4556
257.5,-78.8353,34.4556
260,-78.92,34.4556
262.5,-79.0035,34.4228
265,-79.0861,34.4719
267.5,-79.168,34.4064
270,-79.2491,34.4556
272.5,-79.3298,34.4719
275,-79.4098,34.5047
277.5,-79.4886,34.4228
280,-79.5668,34.4392
282.5,-79.6444,34.3572
285,-79.7214,34.2589
287.5,-79.7974,34.39
290,-79.873,34.3245
292.5,-79.9479,34.4228
295,-80.022,34.3572
297.5,-80.0956,34.2917
300,-80.1685,34.3572
302.5,-80.2412,34.2426
305,-80.3131,34.1606
307.5,-80.3841,34.2917
310,-80.4546,33.9476
312.5,-80.5225,24.8218
315,-80.5942,22.9704
317.5,-80.663,22.9704
320,-80.7317,22.954
322.5,-80.7996,22.9212
325,-80.867,22.954
327.5,-80.9336,23.0031
330,-80.9997,23.0359
332.5,-81.0657,22.9704
335,-81.1309,22.9704
337.5,-81.1957,22.9376
340,-81.2601,22.954
342.5,-81.3239,22.9376
345,-81.3876,22.9868
347.5,-81.4507,23.0359
350,-81.5131,22.9212
352.5,-81.575,23.0031
355,-81.6366,22.9376
357.5,-81.6977,22.9704
360,-81.7586,23.0031
362.5,-81.8189,22.9868
365,-81.8786,23.0031
367.5,-81.9383,23.0195
370,-81.9841,12.501
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
