Distancia,RSS,Throughput
15,14.5672,49.365
17.5,14.6819,49.9876
20,14.5381,50.004
22.5,14.4134,50.004
25,14.4498,50.004
27.5,14.2739,50.0204
30,14.3507,50.004
32.5,14.3575,49.9548
35,14.3199,50.0367
37.5,14.1808,49.9384
40,14.5097,50.0367
42.5,14.3824,50.0204
45,14.2983,49.9548
47.5,14.4509,50.0531
50,14.3051,49.9876
52.5,14.1382,50.004
55,14.8749,49.9876
57.5,14.1001,50.004
60,14.0322,50.004
62.5,14.8316,50.0204
65,14.2671,49.9712
67.5,14.2381,49.9876
70,14.2586,50.004
72.5,14.4214,50.004
75,14.8667,49.9876
77.5,14.4599,50.0204
80,14.7078,49.9712
82.5,12.2911,50.0204
85,12.6724,49.9712
87.5,12.0851,50.0531
90,12.9783,49.9712
92.5,12.6956,49.9876
95,12.4208,50.0367
97.5,12.0461,49.9548
100,12.6659,50.0367
102.5,12.6783,49.9876
105,12.4007,50.004
107.5,12.0654,50.004
110,12.6449,49.9876
112.5,12.0392,50.004
115,12.8048,50.004
117.5,12.5751,49.9876
120,12.3526,50.004
122.5,12.4142,50.0367
125,13.4442,49.9384
127.5,12.4504,50.0367
130,12.7789,50.004
132.5,12.2743,49.9712
135,12.2798,50.0204
137.5,12.9213,50.0204
140,12.7565,49.9548
142.5,12.8657,50.0531
145,11.8417,49.9876
147.5,12.9113,49.9876
150,13.445,50.0204
152.5,12.2014,49.9876
155,12.6924,49.9876
157.5,13.6312,50.0204
160,12.9613,49.9876
162.5,11.9935,50.004
165,12.2409,49.9712
167.5,12.6575,50.0367
170,11.6629,49.9876
172.5,12.1498,50.004
175,11.7846,50.004
177.5,12.08,49.9876
180,12.7884,49.9548
182.5,12.7888,50.0367
185,13.1594,49.9876
187.5,12.4768,50.004
190,12.2286,50.0367
192.5,12.668,49.9712
195,12.4642,50.0367
197.5,12.9761,49.9876
200,12.0049,49.9712
202.5,12.6602,50.004
205,12.7942,49.9876
207.5,12.4645,50.004
210,13.0356,50.0367
212.5,12.2228,49.9876
215,12.5378,49.9876
217.5,12.4084,49.9876
220,12.1521,50.0204
222.5,11.7433,50.004
225,12.9919,49.9712
227.5,12.315,50.0204
230,13.0564,50.004
232.5,12.5731,49.9876
235,12.5799,50.0367
237.5,12.3411,49.9548
240,11.6049,50.0204
242.5,12.0254,50.0204
245,12.1926,49.9712
247.5,13.1441,49.9876
250,12.5783,50.0204
252.5,13.0131,49.9876
255,12.7735,50.0204
257.5,12.2883,49.9876
260,12.9552,49.9876
262.5,13.0554,50.004
265,12.4146,49.9876
267.5,12.521,50.0367
270,12.5548,49.9712
272.5,12.8383,50.0367
275,12.6691,49.9876
277.5,12.0562,49.9876
280,12.9445,50.004
282.5,12.7703,49.9712
285,12.6341,50.0204
287.5,12.2972,49.9876
290,13.0979,50.0367
292.5,13.1387,50.004
295,12.0711,50.004
297.5,12.3855,49.9712
300,12.4747,50.0204
302.5,12.9382,49.9712
305,12.143,50.0204
307.5,12.5849,49.9712
310,12.7003,50.0531
312.5,12.6615,49.9548
315,12.953,50.004
317.5,12.0851,50.0204
320,12.5842,49.9712
322.5,12.9658,50.0531
325,13.1014,49.9384
327.5,11.7229,50.0204
330,12.8246,50.004
332.5,13.0039,50.0367
335,12.9051,49.9384
337.5,13.1994,50.0204
340,12.4384,50.0204
342.5,12.8213,49.9876
345,12.4444,50.0204
347.5,13.3748,49.9712
350,12.7062,49.9876
352.5,12.6492,50.0367
355,12.2274,49.9548
357.5,13.366,50.0531
360,11.8082,49.9876
362.5,12.9181,50.004
365,12.3255,50.004
367.5,12.7339,49.9712
370,12.2034,50.004
372.5,12.6092,50.004
375,12.0076,50.004
377.5,12.1305,49.9712
380,13.0854,50.0367
382.5,12.043,50.004
385,13.0526,49.9712
387.5,12.6621,50.004
390,11.8165,50.004
392.5,12.4048,50.004
395,13.2081,50.0204
397.5,12.8108,50.004
400,12.1847,49.9876
402.5,12.7836,49.9876
405,12.932,50.0204
407.5,12.7999,49.9876
410,12.6322,49.9876
412.5,12.4909,50.0204
415,12.36,50.004
417.5,12.3813,49.9548
420,12.3506,50.004
422.5,12.9481,50.0695
425,12.1727,49.9712
427.5,12.773,49.9712
430,11.963,50.0367
432.5,12.7726,49.9712
435,12.3458,50.0204
437.5,12.775,50.004
440,13.0925,49.9876
442.5,12.8463,49.9876
445,12.4167,50.004
447.5,12.4631,49.9876
450,12.5547,50.0367
452.5,12.302,49.9548
455,12.4663,50.0367
457.5,13.0214,49.9876
460,12.2263,49.9876
462.5,12.3465,49.9876
465,12.785,50.0204
467.5,12.4894,50.004
470,12.0615,49.9876
472.5,12.8675,50.0204
475,11.4272,49.9876
477.5,12.9445,49.9876
480,11.9336,49.9876
482.5,12.5048,50.0367
485,12.7337,49.9876
487.5,12.549,50.0367
490,13.0817,49.9712
492.5,12.4811,49.9712
495,11.6845,50.0204
497.5,12.1261,50.004
500,12.8488,50.0204
502.5,12.9061,49.9876
505,12.4131,49.9548
507.5,13.0216,50.0531
