Distancia,RSS,Throughput
15,-53.4303,48.9554
17.5,-54.8685,50.0204
20,-56.1131,49.9876
22.5,-57.2016,50.004
25,-58.1687,50.004
27.5,-59.0395,50.004
30,-59.8304,50.004
32.5,-60.5549,50.004
35,-61.2246,49.9876
37.5,-61.8462,50.004
40,-62.4254,49.9548
42.5,-62.9684,50.0367
45,-63.4801,49.9876
47.5,-63.9635,50.004
50,-64.4209,50.004
52.5,-64.8551,50.0204
55,-65.269,49.9712
57.5,-65.6643,50.004
60,-66.0421,50.004
62.5,-66.4042,50.004
65,-66.7517,49.9876
67.5,-67.0858,50.0204
70,-67.4073,50.004
72.5,-67.7172,49.9712
75,-68.0172,50.004
77.5,-68.3069,50.0367
80,-68.5871,49.9876
82.5,-68.8585,49.9712
85,-69.122,50.0204
87.5,-69.3777,50.004
90,-69.6256,49.9876
92.5,-69.867,50.0367
95,-70.1018,49.9548
97.5,-70.3302,50.004
100,-70.553,50.0204
102.5,-70.7703,49.9876
105,-70.9825,50.004
107.5,-71.1893,49.9548
110,-71.3913,50.0531
112.5,-71.5888,50.004
115,-71.7817,49.9876
117.5,-71.9707,50.004
120,-72.1554,49.9876
122.5,-72.3361,50.0367
125,-72.5134,49.9384
127.5,-72.6872,50.0531
130,-72.8577,49.9712
132.5,-73.0248,50.0367
135,-73.1882,49.8074
137.5,-73.3488,50.004
140,-73.5068,49.9384
142.5,-73.6621,50.0367
145,-73.8144,50.0204
147.5,-73.9641,49.9548
150,-74.1115,50.0367
152.5,-74.2564,49.9548
155,-74.3987,50.0531
157.5,-74.5382,49.6108
160,-74.6762,50.1842
162.5,-74.8107,48.9554
165,-74.9451,45.9571
167.5,-75.0774,45.8588
170,-75.2069,45.8588
172.5,-75.3341,45.695
175,-75.4601,45.8424
177.5,-75.5847,45.7441
180,-75.7068,45.8752
182.5,-75.8274,45.7114
185,-75.9467,45.8424
187.5,-76.0617,43.4012
190,-76.1797,34.4556
192.5,-76.2939,34.4556
195,-76.4066,34.4228
197.5,-76.5185,34.4883
200,-76.6287,34.5375
202.5,-76.737,34.4392
205,-76.8441,34.4719
207.5,-76.9503,34.5047
210,-77.0549,34.4228
212.5,-77.1582,34.5047
215,-77.2601,34.4719
217.5,-77.3609,34.4883
220,-77.4612,34.4064
222.5,-77.5598,34.5047
225,-77.6572,34.3409
227.5,-77.7539,34.4228
230,-77.8493,34.4883
232.5,-77.9441,34.4392
235,-78.0374,34.4392
237.5,-78.1296,34.5047
240,-78.2215,34.4392
242.5,-78.3119,34.3572
245,-78.4014,34.5047
247.5,-78.49,34.3736
250,-78.5777,34.4392
252.5,-78.6645,34.4556
255,-78.7504,34.4392
257.5,-78.836,34.4719
260,-78.9202,34.39
262.5,-79.0033,34.3572
265,-79.0861,34.4392
267.5,-79.1685,34.4064
270,-79.2496,34.3572
272.5,-79.33,34.5047
275,-79.4095,34.4392
277.5,-79.4885,34.39
280,-79.5667,34.4556
282.5,-79.6441,34.4392
285,-79.7213,34.4064
287.5,-79.7974,34.4064
290,-79.8727,34.4883
292.5,-79.9478,34.4228
295,-80.0218,34.4228
297.5,-80.0954,34.4228
300,-80.1686,34.2426
302.5,-80.2411,34.2262
305,-80.3127,34.1443
307.5,-80.3843,34.3245
310,-80.4547,34.2098
312.5,-80.5225,24.8054
315,-80.5942,22.954
317.5,-80.6632,22.9048
320,-80.7315,23.0359
322.5,-80.7992,22.954
325,-80.8666,22.9048
327.5,-80.9334,22.954
330,-80.9999,23.0359
332.5,-81.0656,22.9212
335,-81.1311,22.8884
337.5,-81.1959,22.9704
340,-81.2602,22.9212
342.5,-81.3241,22.954
345,-81.3873,23.0359
347.5,-81.4502,22.9048
350,-81.5128,22.9704
352.5,-81.575,22.954
355,-81.6368,23.0359
357.5,-81.6977,23.0359
360,-81.7583,23.0031
362.5,-81.8189,22.9212
365,-81.8788,22.9048
367.5,-81.938,22.9376
370,-81.9837,12.3372
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
