Distancia,RSS,Throughput
15,14.3713,49.7582
17.5,14.621,49.9712
20,14.2106,50.0367
22.5,14.4354,50.0367
25,14.3069,49.9712
27.5,14.4338,50.0367
30,14.2839,49.9712
32.5,14.3245,49.9876
35,14.1018,49.9876
37.5,14.7305,50.0204
40,14.2617,49.9548
42.5,14.2799,50.0859
45,14.3232,49.9712
47.5,14.7757,49.9548
50,14.5573,50.0204
52.5,15.2952,50.0367
55,14.117,49.9548
57.5,14.5143,50.0204
60,14.1024,49.9876
62.5,14.4819,49.9876
65,14.6642,50.0367
67.5,14.0627,49.9876
70,14.2753,50.004
72.5,14.9783,49.9548
75,14.3196,50.004
77.5,14.7434,50.0695
80,14.5847,49.9712
82.5,11.7815,49.9876
85,12.8128,49.9876
87.5,13.3959,49.9712
90,12.0318,50.0367
92.5,12.3007,49.9876
95,12.2873,50.0204
97.5,12.4575,50.004
100,12.6889,49.9876
102.5,13.3591,49.9876
105,12.6674,50.0531
107.5,12.0639,49.9548
110,12.1309,50.004
112.5,12.079,50.0204
115,12.5548,49.9876
117.5,12.0533,49.9876
120,12.142,50.0204
122.5,12.9246,50.0204
125,13.259,49.9712
127.5,11.9161,50.004
130,12.4727,50.0367
132.5,12.2881,49.9384
135,13.3579,49.9876
137.5,12.1637,50.0531
140,12.225,49.9712
142.5,11.677,50.004
145,12.611,50.0367
147.5,12.728,49.9548
150,12.0734,50.0204
152.5,12.2164,49.9876
155,13.1043,50.0204
157.5,12.9714,50.004
160,12.6439,49.9548
162.5,12.657,50.0367
165,13.2697,50.004
167.5,13.1357,49.9712
170,13.0753,50.0367
172.5,12.9424,49.9712
175,13.7681,49.9876
177.5,12.109,50.004
180,12.326,50.0204
182.5,12.6429,50.0204
185,13.0629,50.004
187.5,11.9943,49.9548
190,12.0345,49.9876
192.5,12.4434,50.0367
195,11.8834,50.004
197.5,12.7541,50.0204
200,12.5773,49.9548
202.5,12.6194,50.0531
205,13.206,49.9384
207.5,12.1727,50.0204
210,12.5966,49.9876
212.5,12.3179,50.004
215,12.108,49.9876
217.5,11.3999,50.0695
220,12.5656,49.9712
222.5,12.2923,50.004
225,12.1309,49.9876
227.5,11.7437,49.9712
230,12.2985,50.0367
232.5,12.3444,49.9876
235,12.5671,49.9712
237.5,12.4041,50.0367
240,12.3193,49.9712
242.5,11.7653,50.004
245,12.8299,50.004
247.5,12.6306,50.0367
250,12.3742,49.9712
252.5,12.1471,49.9712
255,12.561,50.0367
257.5,12.4751,49.9712
260,12.8659,50.004
262.5,12.8081,50.004
265,13.4631,50.004
267.5,12.643,50.004
270,12.715,50.004
272.5,12.1458,50.0204
275,12.2275,49.9548
277.5,12.4485,50.004
280,12.1593,50.0531
282.5,13.0045,49.9712
285,13.1076,49.9876
287.5,12.7795,49.9876
290,12.1189,50.0531
292.5,13.2452,49.9876
295,12.1399,49.9384
297.5,12.1515,50.0531
300,11.9389,50.004
302.5,11.2782,49.9876
305,12.7199,50.0204
307.5,12.662,49.9712
310,11.5273,49.9876
312.5,12.9376,50.0367
315,12.1664,49.9876
317.5,13.0741,49.9548
320,12.9172,50.0367
322.5,12.3635,49.9876
325,11.9241,50.0367
327.5,12.9483,49.9548
330,12.9587,50.0367
332.5,12.8211,49.9876
335,12.1934,50.004
337.5,12.776,50.004
340,12.0535,50.004
342.5,12.5687,49.9712
345,11.8119,50.0204
347.5,12.6763,49.9876
350,12.5041,50.004
352.5,12.2737,50.004
355,12.8376,49.9876
357.5,12.341,50.0204
360,13.2555,49.9876
362.5,12.2209,49.9876
365,12.599,50.0204
367.5,12.8665,49.9876
370,13.1282,50.004
372.5,12.6585,49.9712
375,12.0918,50.0204
377.5,12.0224,49.9876
380,12.7635,50.0204
382.5,12.2422,49.9876
385,12.17,50.0204
387.5,13.0304,50.004
390,12.1889,49.9876
392.5,12.442,49.9876
395,13.2574,50.0204
397.5,12.9205,49.9876
400,11.8709,50.0204
402.5,12.2049,50.004
405,12.566,49.9548
407.5,12.78,50.0204
410,12.0676,50.0531
412.5,12.5128,49.9548
415,12.4811,50.004
417.5,12.4821,49.9876
420,12.4395,50.004
422.5,12.6977,49.9712
425,12.8423,50.004
427.5,12.5223,50.0367
430,12.1503,49.9712
432.5,12.788,50.0367
435,12.092,50.004
437.5,13.4801,49.9876
440,12.8537,49.9876
442.5,12.3459,50.004
445,12.8793,49.9712
447.5,12.432,50.0367
450,12.6975,50.004
452.5,12.2465,50.0204
455,11.4552,49.9876
457.5,12.7198,50.0204
460,12.6293,49.9548
462.5,12.7251,50.004
465,12.6811,50.004
467.5,13.4498,49.9876
470,13.0885,49.9876
472.5,12.3028,50.0531
475,12.3902,49.9876
477.5,12.338,49.9876
480,12.9006,50.004
482.5,12.0251,50.0204
485,12.6895,49.9548
487.5,12.233,50.0204
490,12.5207,49.9876
492.5,12.1559,50.0204
495,12.362,49.9712
497.5,12.0233,50.0204
500,12.8875,49.9876
502.5,13.0469,50.004
505,12.8503,50.004
507.5,12.2894,50.0204
