Distancia,RSS,Throughput
15,-52.2843,48.9554
17.5,-53.6509,49.9712
20,-54.8346,50.0367
22.5,-55.8697,50.004
25,-56.7883,49.9876
27.5,-57.6147,50.004
30,-58.3663,50.0204
32.5,-59.055,49.9712
35,-59.6909,49.9876
37.5,-60.2801,50.0367
40,-60.8306,49.9712
42.5,-61.347,50.0367
45,-61.8332,50.004
47.5,-62.2925,49.9876
50,-62.7268,50.004
52.5,-63.1397,50.0204
55,-63.5329,49.9384
57.5,-63.9078,50.004
60,-64.2666,50.0204
62.5,-64.6105,49.9876
65,-64.9407,50.0204
67.5,-65.2584,49.9876
70,-65.5638,50.0204
72.5,-65.8586,49.9876
75,-66.1435,50.0367
77.5,-66.4183,49.9548
80,-66.6843,50.0204
82.5,-66.9422,49.9876
85,-67.1926,50.004
87.5,-67.4355,49.9712
90,-67.6714,50.0204
92.5,-67.9008,50.004
95,-68.1236,50.0204
97.5,-68.3409,50.004
100,-68.5528,49.9876
102.5,-68.759,50.004
105,-68.9602,49.9712
107.5,-69.1566,50.004
110,-69.3483,50.0367
112.5,-69.5358,49.9548
115,-69.7193,49.9876
117.5,-69.8988,50.0367
120,-70.0742,50.004
122.5,-70.2462,49.9876
125,-70.4148,49.9876
127.5,-70.58,50.004
130,-70.7416,50.004
132.5,-70.9001,50.004
135,-71.0558,50.004
137.5,-71.2089,50.004
140,-71.3591,49.9876
142.5,-71.5064,50.004
145,-71.6512,50.0367
147.5,-71.7935,49.9548
150,-71.9333,50.004
152.5,-72.0708,50.0204
155,-72.2062,50.0367
157.5,-72.3391,49.9548
160,-72.4701,50.004
162.5,-72.5993,50.0204
165,-72.7262,49.9712
167.5,-72.8512,50.0204
170,-72.9743,49.9876
172.5,-73.0957,50.004
175,-73.2151,49.791
177.5,-73.3327,50.004
180,-73.4487,50.0204
182.5,-73.5635,49.9712
185,-73.6767,50.004
187.5,-73.7881,49.9876
190,-73.8982,50.004
192.5,-74.0069,49.9876
195,-74.1139,50.0367
197.5,-74.2196,49.9548
200,-74.3242,50.0367
202.5,-74.4783,49.9876
205,-74.682,49.9057
207.5,-74.8806,47.0876
210,-75.0806,45.8752
212.5,-75.2767,45.9407
215,-75.4716,45.9244
217.5,-75.6634,45.3673
220,-75.8538,45.7933
222.5,-76.0378,43.5814
225,-76.2264,34.4228
227.5,-76.4093,34.4392
230,-76.591,34.3736
232.5,-76.7703,34.4719
235,-76.9474,34.4556
237.5,-77.1236,34.5375
240,-77.2978,34.4719
242.5,-77.4693,34.4719
245,-77.6395,34.39
247.5,-77.8075,34.5047
250,-77.9742,34.3409
252.5,-78.1402,34.5047
255,-78.3031,34.5375
257.5,-78.4644,34.5375
260,-78.625,34.5047
262.5,-78.7843,34.4719
265,-78.9413,34.4064
267.5,-79.097,34.3572
270,-79.2513,34.4883
272.5,-79.4038,34.4556
275,-79.5549,34.4392
277.5,-79.7048,34.3572
280,-79.8535,34.3081
282.5,-80.0009,34.4064
285,-80.1473,34.4392
287.5,-80.2923,34.2426
290,-80.4349,33.6691
292.5,-80.5783,22.954
295,-80.719,23.0031
297.5,-80.8589,22.8884
300,-80.9975,23.0031
302.5,-81.1349,22.9048
305,-81.2719,22.9868
307.5,-81.4069,23.0359
310,-81.541,22.8884
312.5,-81.6743,22.9212
315,-81.8062,22.9704
317.5,-81.9363,22.4625
320,-100,0
322.5,-100,0
325,-100,0
327.5,-100,0
330,-100,0
332.5,-100,0
335,-100,0
337.5,-100,0
340,-100,0
342.5,-100,0
345,-100,0
347.5,-100,0
350,-100,0
352.5,-100,0
355,-100,0
357.5,-100,0
360,-100,0
362.5,-100,0
365,-100,0
367.5,-100,0
370,-100,0
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
