Distancia,RSS,Throughput
15,-53.4322,48.8735
17.5,-54.87,50.0204
20,-56.114,49.9548
22.5,-57.2014,50.0367
25,-58.1699,49.9712
27.5,-59.0405,49.9876
30,-59.8311,50.0204
32.5,-60.5557,50.0204
35,-61.2251,50.004
37.5,-61.8468,49.9712
40,-62.4255,49.9876
42.5,-62.9687,50.0531
45,-63.48,49.9712
47.5,-63.9624,50.004
50,-64.4199,50.004
52.5,-64.8547,50.004
55,-65.2686,49.9876
57.5,-65.6639,49.9876
60,-66.0416,50.0204
62.5,-66.4036,49.9548
65,-66.7514,50.0367
67.5,-67.0854,49.9876
70,-67.4073,50.004
72.5,-67.718,50.0204
75,-68.0176,49.9712
77.5,-68.307,50.0204
80,-68.5871,49.9876
82.5,-68.8585,49.9876
85,-69.1217,49.9876
87.5,-69.3775,50.0367
90,-69.6258,49.9876
92.5,-69.867,50.004
95,-70.1019,50.004
97.5,-70.3307,49.9876
100,-70.5534,50.0204
102.5,-70.7704,50.004
105,-70.9823,49.9548
107.5,-71.1892,50.0204
110,-71.3912,50.0204
112.5,-71.5887,49.9712
115,-71.7816,50.0531
117.5,-71.9704,49.9712
120,-72.1553,50.004
122.5,-72.3363,49.9712
125,-72.5135,50.0367
127.5,-72.6873,49.9548
130,-72.8575,50.0367
132.5,-73.0245,49.9876
135,-73.1884,49.791
137.5,-73.3487,50.0204
140,-73.5062,50.0204
142.5,-73.6617,49.9712
145,-73.8145,50.0204
147.5,-73.9644,49.9876
150,-74.1113,49.8729
152.5,-74.2558,50.0859
155,-74.3987,50.0531
157.5,-74.5389,49.9548
160,-74.6763,49.9712
162.5,-74.8106,48.8735
165,-74.9453,45.9244
167.5,-75.077,45.826
170,-75.2065,45.8916
172.5,-75.3348,45.6622
175,-75.4605,46.0718
177.5,-75.5843,45.908
180,-75.7068,45.7769
182.5,-75.8275,45.6294
185,-75.9464,45.5803
187.5,-76.0617,43.5487
190,-76.1793,34.4392
192.5,-76.2942,34.39
195,-76.407,34.39
197.5,-76.5185,34.4392
200,-76.6283,34.4392
202.5,-76.7369,34.4064
205,-76.8445,34.5702
207.5,-76.95,34.5047
210,-77.0545,34.4719
212.5,-77.1578,34.4064
215,-77.2601,34.39
217.5,-77.3616,34.4392
220,-77.4613,34.4883
222.5,-77.5598,34.4556
225,-77.6577,34.4883
227.5,-77.7541,34.4556
230,-77.8495,34.4392
232.5,-77.9439,34.39
235,-78.0373,34.3736
237.5,-78.1298,34.4556
240,-78.2211,34.4228
242.5,-78.3115,34.4228
245,-78.4012,34.3736
247.5,-78.4901,34.5702
250,-78.5778,34.3245
252.5,-78.6646,34.4228
255,-78.7505,34.5047
257.5,-78.8355,34.4228
260,-78.9199,34.4064
262.5,-79.0033,34.4556
265,-79.0861,34.3736
267.5,-79.1679,34.4719
270,-79.2495,34.3409
272.5,-79.3299,34.5047
275,-79.4094,34.39
277.5,-79.4887,34.4883
280,-79.5667,34.4392
282.5,-79.6443,34.4392
285,-79.7212,34.2917
287.5,-79.7973,34.5211
290,-79.8728,34.3572
292.5,-79.9476,34.2589
295,-80.0219,34.3409
297.5,-80.0955,34.2917
300,-80.1689,34.2098
302.5,-80.241,34.2589
305,-80.3129,34.2589
307.5,-80.384,34.1115
310,-80.4547,34.1443
312.5,-80.5227,24.8545
315,-80.5942,23.0359
317.5,-80.663,22.954
320,-80.7317,23.0031
322.5,-80.7994,22.9704
325,-80.8666,23.0359
327.5,-80.9336,22.9212
330,-81.0001,23.0359
332.5,-81.0659,22.8884
335,-81.1312,23.0031
337.5,-81.1959,22.9868
340,-81.2602,22.954
342.5,-81.3239,22.9704
345,-81.3873,22.9868
347.5,-81.4504,22.9868
350,-81.5129,22.9376
352.5,-81.5748,23.0031
355,-81.6364,22.9048
357.5,-81.6975,23.0031
360,-81.7585,22.9048
362.5,-81.8191,23.0359
365,-81.8789,22.954
367.5,-81.9382,22.9868
370,-81.984,12.5174
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
