Distancia,RSS,Throughput
15,-53.4279,49.0701
17.5,-54.8678,49.9712
20,-56.1123,50.0204
22.5,-57.2019,50.004
25,-58.1708,49.9876
27.5,-59.0401,50.0204
30,-59.8311,49.9712
32.5,-60.5569,50.0531
35,-61.2261,49.9876
37.5,-61.8465,50.004
40,-62.4253,49.9876
42.5,-62.9687,50.0204
45,-63.4807,50.004
47.5,-63.9632,49.9712
50,-64.4205,50.0204
52.5,-64.8552,49.9548
55,-65.2686,50.0204
57.5,-65.6635,49.9876
60,-66.0408,50.004
62.5,-66.4035,50.004
65,-66.7518,50.004
67.5,-67.0858,49.9876
70,-67.4074,50.0204
72.5,-67.7176,50.0204
75,-68.0171,49.9548
77.5,-68.307,50.0367
80,-68.5869,49.9548
82.5,-68.8582,50.004
85,-69.1219,50.0367
87.5,-69.3773,50.004
90,-69.6257,49.9712
92.5,-69.8674,50.0367
95,-70.1021,49.9548
97.5,-70.3306,50.0204
100,-70.553,49.9712
102.5,-70.7703,50.0367
105,-70.9824,50.004
107.5,-71.189,49.9876
110,-71.3908,49.9876
112.5,-71.5885,50.0204
115,-71.7817,50.004
117.5,-71.9704,49.9712
120,-72.1551,50.004
122.5,-72.3361,50.0204
125,-72.5133,49.9876
127.5,-72.6871,49.9876
130,-72.8574,50.004
132.5,-73.0245,49.9548
135,-73.1885,49.8565
137.5,-73.3491,50.0367
140,-73.5072,50.004
142.5,-73.6621,49.9712
145,-73.8144,50.0204
147.5,-73.9644,50.0204
150,-74.1112,49.9548
152.5,-74.256,49.9876
155,-74.3988,49.9548
157.5,-74.5385,50.0367
160,-74.6764,49.6271
162.5,-74.8114,49.2012
165,-74.9456,45.9407
167.5,-75.0769,45.9899
170,-75.2069,46.0063
172.5,-75.3345,45.695
175,-75.4603,46.0063
177.5,-75.5847,45.7114
180,-75.7071,45.6131
182.5,-75.8278,45.695
185,-75.9465,45.4001
187.5,-76.0615,43.8927
190,-76.18,34.4392
192.5,-76.2945,34.2753
195,-76.4068,34.4392
197.5,-76.5181,34.4228
200,-76.6282,34.3572
202.5,-76.7367,34.5211
205,-76.8443,34.4556
207.5,-76.95,34.4556
210,-77.0547,34.39
212.5,-77.1581,34.4883
215,-77.26,34.4228
217.5,-77.3615,34.4392
220,-77.4614,34.4064
222.5,-77.5602,34.4064
225,-77.6577,34.4064
227.5,-77.7542,34.4719
230,-77.8499,34.5375
232.5,-77.944,34.4392
235,-78.0373,34.4556
237.5,-78.1295,34.5047
240,-78.221,34.3572
242.5,-78.3119,34.4883
245,-78.4012,34.4556
247.5,-78.4898,34.4556
250,-78.5778,34.5375
252.5,-78.6646,34.3245
255,-78.7502,34.4228
257.5,-78.8354,34.4556
260,-78.9201,34.4064
262.5,-79.0037,34.3572
265,-79.0862,34.2917
267.5,-79.1682,34.5047
270,-79.2496,34.4228
272.5,-79.3299,34.4719
275,-79.4095,34.4228
277.5,-79.4888,34.5211
280,-79.5668,34.5047
282.5,-79.6443,34.4228
285,-79.7214,34.4556
287.5,-79.7974,34.3409
290,-79.8731,34.2589
292.5,-79.9479,34.39
295,-80.0221,34.3409
297.5,-80.0956,34.2753
300,-80.1686,34.3409
302.5,-80.2409,34.1934
305,-80.3127,34.0623
307.5,-80.3842,34.3572
310,-80.4546,34.046
312.5,-80.5225,24.7726
315,-80.5943,22.9212
317.5,-80.663,23.0523
320,-80.7317,22.9868
322.5,-80.7996,22.8721
325,-80.8669,22.9704
327.5,-80.9337,22.9376
330,-80.9999,22.9704
332.5,-81.0657,22.9048
335,-81.131,22.9868
337.5,-81.1959,22.9212
340,-81.2601,23.0195
342.5,-81.3242,22.9376
345,-81.3877,22.9048
347.5,-81.4503,22.9212
350,-81.5129,22.9212
352.5,-81.5749,22.9376
355,-81.6366,22.8721
357.5,-81.6979,22.9212
360,-81.7587,22.954
362.5,-81.819,22.9704
365,-81.8788,22.9704
367.5,-81.9384,23.0031
370,-81.984,12.3208
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
