Distancia,RSS,Throughput
15,-53.4318,48.8735
17.5,-54.8682,49.9876
20,-56.1131,50.004
22.5,-57.2017,50.0204
25,-58.1698,49.9712
27.5,-59.0401,50.004
30,-59.8304,50.0204
32.5,-60.5553,49.9712
35,-61.225,50.0204
37.5,-61.8462,50.004
40,-62.4256,49.9876
42.5,-62.9695,50.0204
45,-63.4806,49.9876
47.5,-63.9628,49.9876
50,-64.4204,50.004
52.5,-64.8552,50.004
55,-65.269,49.9876
57.5,-65.6638,50.0204
60,-66.0415,49.9876
62.5,-66.4039,50.0204
65,-66.7516,49.9876
67.5,-67.0859,50.0204
70,-67.4074,49.9712
72.5,-67.7175,49.9876
75,-68.0171,50.004
77.5,-68.3066,50.0204
80,-68.5871,50.004
82.5,-68.8591,50.004
85,-69.122,50.004
87.5,-69.3774,49.9712
90,-69.6257,49.9876
92.5,-69.867,50.004
95,-70.1017,49.9876
97.5,-70.3305,50.0531
100,-70.5533,49.9876
102.5,-70.7705,50.0204
105,-70.9824,49.9548
107.5,-71.189,50.0204
110,-71.3911,50.004
112.5,-71.5885,49.9712
115,-71.7815,49.9876
117.5,-71.9705,50.0367
120,-72.1554,49.9876
122.5,-72.3363,50.004
125,-72.5135,49.9548
127.5,-72.6873,50.0367
130,-72.8574,49.9876
132.5,-73.0243,50.004
135,-73.188,49.8074
137.5,-73.3486,50.004
140,-73.5067,49.9712
142.5,-73.662,50.0695
145,-73.814,50.004
147.5,-73.9641,49.9548
150,-74.1116,50.004
152.5,-74.2562,49.9876
155,-74.3986,50.004
157.5,-74.5391,49.922
160,-74.6766,49.922
162.5,-74.8107,48.939
165,-74.9454,45.9899
167.5,-75.0771,45.7605
170,-75.207,45.7605
172.5,-75.3347,45.8588
175,-75.4607,45.8097
177.5,-75.585,45.9407
180,-75.7072,45.7605
182.5,-75.8276,45.695
185,-75.9467,45.5639
187.5,-76.0617,43.4176
190,-76.18,34.3736
192.5,-76.2942,34.4556
195,-76.4068,34.5375
197.5,-76.518,34.3572
200,-76.6279,34.4392
202.5,-76.7371,34.4392
205,-76.8444,34.4064
207.5,-76.9501,34.4719
210,-77.0547,34.4556
212.5,-77.158,34.39
215,-77.2602,34.4883
217.5,-77.3611,34.39
220,-77.4616,34.4392
222.5,-77.5604,34.2589
225,-77.6575,34.5375
227.5,-77.7539,34.3736
230,-77.8496,34.5211
232.5,-77.9438,34.4719
235,-78.0371,34.4556
237.5,-78.1299,34.4228
240,-78.2213,34.5047
242.5,-78.3116,34.39
245,-78.4013,34.39
247.5,-78.4897,34.5047
250,-78.5779,34.4392
252.5,-78.6646,34.4883
255,-78.7504,34.4556
257.5,-78.8358,34.4392
260,-78.9202,34.4556
262.5,-79.0036,34.4228
265,-79.0861,34.4883
267.5,-79.168,34.4392
270,-79.2496,34.4228
272.5,-79.3298,34.5539
275,-79.4094,34.4228
277.5,-79.4883,34.3081
280,-79.5665,34.5211
282.5,-79.6443,34.4556
285,-79.721,34.39
287.5,-79.7973,34.3245
290,-79.8729,34.39
292.5,-79.9477,34.3081
295,-80.0221,34.1606
297.5,-80.0957,34.39
300,-80.1686,34.3081
302.5,-80.2408,34.2098
305,-80.313,34.1606
307.5,-80.384,34.2098
310,-80.4547,34.1443
312.5,-80.5225,24.8218
315,-80.5942,22.954
317.5,-80.6631,22.954
320,-80.7316,22.8721
322.5,-80.7994,23.0031
325,-80.8666,22.954
327.5,-80.9336,23.0359
330,-80.9998,22.9704
332.5,-81.0656,22.954
335,-81.1311,23.0359
337.5,-81.1958,22.9704
340,-81.2601,22.954
342.5,-81.3242,22.9376
345,-81.3874,23.0031
347.5,-81.4505,22.8721
350,-81.5131,22.954
352.5,-81.5751,22.9376
355,-81.6366,22.9868
357.5,-81.6978,22.9212
360,-81.7586,23.0195
362.5,-81.8188,22.9704
365,-81.8787,22.954
367.5,-81.9382,22.9704
370,-81.9837,12.3535
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
