Distancia,RSS,Throughput
15,-52.2875,48.8735
17.5,-53.6535,50.0204
20,-54.8352,49.9548
22.5,-55.8682,50.0367
25,-56.7884,49.9712
27.5,-57.6155,49.9876
30,-58.3665,50.0204
32.5,-59.0548,50.0204
35,-59.6908,50.004
37.5,-60.2814,49.9712
40,-60.8312,49.9876
42.5,-61.3472,50.0531
45,-61.8329,49.9712
47.5,-62.2912,50.004
50,-62.7258,50.004
52.5,-63.1389,50.004
55,-63.5321,49.9876
57.5,-63.9076,49.9876
60,-64.2665,50.0204
62.5,-64.6104,49.9548
65,-64.9408,50.0367
67.5,-65.258,49.9876
70,-65.5639,50.004
72.5,-65.859,50.0204
75,-66.1437,49.9712
77.5,-66.4186,50.0204
80,-66.6847,49.9876
82.5,-66.9425,49.9876
85,-67.1926,49.9876
87.5,-67.4355,50.0367
90,-67.6714,49.9876
92.5,-67.9006,50.004
95,-68.1237,50.004
97.5,-68.3411,49.9876
100,-68.5527,50.0204
102.5,-68.7588,50.004
105,-68.9601,49.9548
107.5,-69.1566,50.0204
110,-69.3486,50.0204
112.5,-69.5362,49.9712
115,-69.7195,50.0531
117.5,-69.8989,49.9712
120,-70.0743,50.0204
122.5,-70.2462,49.9712
125,-70.4148,49.9876
127.5,-70.5799,50.0367
130,-70.7417,49.9548
132.5,-70.9003,50.0367
135,-71.0561,50.004
137.5,-71.2089,49.9712
140,-71.3587,49.9876
142.5,-71.5062,50.0204
145,-71.651,49.9876
147.5,-71.7934,50.0204
150,-71.9334,50.004
152.5,-72.0708,50.0204
155,-72.2061,49.9876
157.5,-72.3394,49.9876
160,-72.4703,50.0204
162.5,-72.5992,49.9384
165,-72.7262,50.0531
167.5,-72.8512,50.0204
170,-72.9741,49.9548
172.5,-73.0956,49.9876
175,-73.2153,49.791
177.5,-73.3329,50.0531
180,-73.4491,49.9384
182.5,-73.5636,50.0531
185,-73.6767,50.004
187.5,-73.7882,50.004
190,-73.8981,50.0204
192.5,-74.007,50.0204
195,-74.1142,49.4961
197.5,-74.2196,50.4627
200,-74.3242,49.9876
202.5,-74.4785,49.9548
205,-74.6819,50.004
207.5,-74.8806,47.0876
210,-75.0812,45.908
212.5,-75.2773,45.9571
215,-75.4714,45.7933
217.5,-75.663,45.6786
220,-75.8528,45.5803
222.5,-76.0378,43.6142
225,-76.227,34.5539
227.5,-76.4099,34.4556
230,-76.591,34.5047
232.5,-76.7712,34.4556
235,-76.9481,34.5702
237.5,-77.1233,34.39
240,-77.2975,34.5375
242.5,-77.4693,34.3245
245,-77.6395,34.5375
247.5,-77.8086,34.4719
250,-77.975,34.4392
252.5,-78.1398,34.4392
255,-78.303,34.4883
257.5,-78.4644,34.4883
260,-78.6254,34.39
262.5,-78.7838,34.5375
265,-78.9408,34.3572
267.5,-79.0974,34.4883
270,-79.2514,34.39
272.5,-79.4038,34.5539
275,-79.555,34.3736
277.5,-79.7047,34.4064
280,-79.8535,34.5866
282.5,-80.0012,34.4883
285,-80.1476,34.3081
287.5,-80.2926,34.1279
290,-80.435,33.6527
292.5,-80.5783,22.954
295,-80.7195,22.9212
297.5,-80.8591,22.9868
300,-80.9977,22.9704
302.5,-81.1357,22.9868
305,-81.2719,22.9868
307.5,-81.407,22.9212
310,-81.541,22.9704
312.5,-81.6739,22.9868
315,-81.8064,22.9868
317.5,-81.9364,22.5116
320,-100,0
322.5,-100,0
325,-100,0
327.5,-100,0
330,-100,0
332.5,-100,0
335,-100,0
337.5,-100,0
340,-100,0
342.5,-100,0
345,-100,0
347.5,-100,0
350,-100,0
352.5,-100,0
355,-100,0
357.5,-100,0
360,-100,0
362.5,-100,0
365,-100,0
367.5,-100,0
370,-100,0
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
