Distancia,RSS,Throughput
15,14.5242,49.6927
17.5,14.2534,49.9712
20,14.4577,49.9876
22.5,14.6834,50.0204
25,14.6717,50.004
27.5,14.5887,49.9876
30,14.6194,50.004
32.5,14.8702,50.0204
35,14.1577,49.9876
37.5,13.8291,50.004
40,14.2173,49.9876
42.5,14.2654,49.9712
45,14.4853,50.0367
47.5,14.8057,50.0204
50,14.6163,49.9876
52.5,13.9983,49.9876
55,14.364,50.004
57.5,14.568,49.9876
60,14.3803,50.0204
62.5,14.4238,49.9712
65,14.4399,49.9876
67.5,14.7029,50.0531
70,13.9553,49.9384
72.5,14.0209,50.0204
75,14.1738,50.0204
77.5,14.4354,49.9876
80,14.2714,50.004
82.5,12.3667,50.004
85,12.245,50.0204
87.5,12.4004,49.9712
90,12.9367,50.004
92.5,12.78,50.0204
95,12.0275,49.9876
97.5,12.5047,49.9876
100,13.025,50.004
102.5,12.5435,50.004
105,12.694,50.004
107.5,12.1024,50.004
110,11.9342,50.004
112.5,12.0063,49.9876
115,12.4782,50.004
117.5,13.1872,50.004
120,12.476,49.9876
122.5,12.2425,50.0204
125,11.8428,49.9712
127.5,12.0636,50.0367
130,11.9741,49.9876
132.5,12.4946,49.9876
135,12.4558,50.004
137.5,12.313,49.9876
140,12.584,50.004
142.5,13.0388,49.9876
145,13.1274,50.0204
147.5,13.0757,50.0367
150,12.4077,49.9548
152.5,13.1062,50.0367
155,12.2749,50.004
157.5,11.8364,49.9548
160,12.805,50.004
162.5,12.8277,50.0531
165,12.9361,49.9384
167.5,12.1375,49.9876
170,12.2093,50.0695
172.5,13.2743,49.9548
175,12.5921,49.9876
177.5,12.7033,50.0204
180,12.6821,49.9876
182.5,13.0461,50.0204
185,12.2453,49.9548
187.5,13.3305,50.0367
190,12.3218,49.9876
192.5,13.1561,50.0204
195,11.8906,50.004
197.5,12.174,49.9712
200,12.6441,50.0367
202.5,12.3959,49.9712
205,12.4833,50.0204
207.5,12.3121,50.004
210,12.7295,49.9712
212.5,12.3415,50.0204
215,12.395,49.9548
217.5,13.4863,50.004
220,13.0779,50.0204
222.5,12.7926,50.004
225,12.9901,50.0204
227.5,12.8782,50.004
230,12.3882,50.004
232.5,13.2025,49.9548
235,12.4133,49.9876
237.5,13.1032,50.0531
240,12.0924,50.004
242.5,12.5036,49.9712
245,12.2069,50.0204
247.5,12.8415,49.9712
250,12.0452,50.004
252.5,12.2467,50.0367
255,12.829,49.9876
257.5,12.9271,50.004
260,12.8444,49.9876
262.5,12.7866,50.0204
265,11.7995,49.9876
267.5,12.9987,49.9876
270,12.4722,49.9876
272.5,12.8977,50.0531
275,11.9992,49.9384
277.5,12.9695,50.0204
280,12.5675,50.0204
282.5,12.4633,50.004
285,12.5132,50.004
287.5,13.6958,49.9876
290,11.1421,49.9876
292.5,13.045,49.9712
295,12.5294,50.0204
297.5,12.5245,49.9876
300,12.7148,50.0531
302.5,12.7345,49.9548
305,11.8376,50.0204
307.5,12.1648,50.0204
310,12.6647,49.9876
312.5,12.2694,49.9876
315,12.6941,49.9876
317.5,12.4504,50.004
320,12.5251,50.004
322.5,12.8147,50.004
325,11.8466,49.9876
327.5,12.2406,50.004
330,12.1231,49.9876
332.5,12.9086,50.0204
335,12.8758,49.9712
337.5,12.5384,50.0204
340,12.9475,49.9876
342.5,12.8566,50.0204
345,13.4469,49.9876
347.5,11.7295,49.9876
350,13.0611,50.0367
352.5,11.9682,49.9712
355,12.7967,49.9876
357.5,12.7864,50.0531
360,12.5507,49.9712
362.5,12.908,50.004
365,11.841,50.004
367.5,11.7396,50.004
370,12.9096,49.9712
372.5,12.3033,50.0204
375,12.1389,50.0204
377.5,12.3227,50.004
380,13.1276,49.9548
382.5,11.5913,50.004
385,12.8783,50.0204
387.5,12.2177,50.004
390,13.1723,49.9712
392.5,12.2363,50.0204
395,12.6534,49.9876
397.5,12.464,50.0204
400,12.1532,50.004
402.5,12.9823,49.9712
405,12.4528,50.0367
407.5,12.2772,49.9548
410,12.3277,50.0204
412.5,12.5902,50.004
415,11.8315,50.004
417.5,12.0024,49.9876
420,12.4569,50.0204
422.5,12.6076,49.9876
425,12.8947,50.0204
427.5,12.4229,50.004
430,12.629,49.9876
432.5,12.7965,49.9876
435,12.7689,50.004
437.5,12.7662,49.9712
440,12.9624,50.0367
442.5,12.8435,50.0204
445,12.5144,49.9384
447.5,12.3779,50.004
450,12.2416,50.004
452.5,12.2588,50.0204
455,12.4153,49.9876
457.5,12.2005,50.004
460,13.4829,50.0367
462.5,12.1923,50.004
465,12.8796,49.9548
467.5,12.6855,50.0367
470,13.2845,49.9712
472.5,12.1044,49.9876
475,12.6047,50.0367
477.5,12.2749,49.9384
480,13.3582,50.0204
482.5,12.0055,49.9876
485,13.0159,50.004
487.5,12.4168,50.0367
490,12.8664,50.004
492.5,13.3111,49.9876
495,11.8849,50.0367
497.5,12.8243,49.9712
500,12.4856,50.004
502.5,13.0734,50.004
505,12.254,49.9876
507.5,12.725,50.004
