Distancia,RSS,Throughput
15,-52.2815,49.1356
17.5,-53.65,49.9876
20,-54.8345,50.0367
22.5,-55.8697,49.9876
25,-56.7876,50.0204
27.5,-57.6147,49.9876
30,-58.3664,50.0204
32.5,-59.0549,49.9712
35,-59.6909,50.004
37.5,-60.2811,50.004
40,-60.8317,49.9876
42.5,-61.3478,50.0367
45,-61.8331,49.9876
47.5,-62.292,49.9876
50,-62.7265,50.004
52.5,-63.1385,49.9712
55,-63.5322,50.0531
57.5,-63.908,49.9548
60,-64.2668,50.0204
62.5,-64.6107,50.0204
65,-64.9408,49.9712
67.5,-65.2585,50.004
70,-65.5641,50.004
72.5,-65.8589,49.9876
75,-66.1435,50.0204
77.5,-66.4185,50.0204
80,-66.6847,49.9712
82.5,-66.9426,49.9876
85,-67.1927,50.0204
87.5,-67.4355,49.9876
90,-67.6714,50.004
92.5,-67.9007,50.0204
95,-68.1239,50.004
97.5,-68.3411,49.9712
100,-68.5525,50.0204
102.5,-68.7588,50.004
105,-68.9601,50.004
107.5,-69.1565,49.9384
110,-69.3486,50.004
112.5,-69.5361,50.0367
115,-69.7195,49.9876
117.5,-69.8987,50.0204
120,-70.0745,50.0204
122.5,-70.2465,49.9548
125,-70.4149,50.0204
127.5,-70.58,50.004
130,-70.7417,50.0367
132.5,-70.9003,49.9712
135,-71.0559,49.9876
137.5,-71.2089,50.004
140,-71.359,50.004
142.5,-71.5064,50.0204
145,-71.6512,49.9876
147.5,-71.7935,49.9712
150,-71.9332,50.004
152.5,-72.0708,50.004
155,-72.2063,50.0204
157.5,-72.3393,49.9876
160,-72.4703,50.0204
162.5,-72.5993,49.9712
165,-72.7262,49.9876
167.5,-72.8511,50.0204
170,-72.9741,50.004
172.5,-73.0956,49.9712
175,-73.2149,49.8401
177.5,-73.3324,49.9876
180,-73.4489,50.0204
182.5,-73.5639,50.004
185,-73.6766,49.9712
187.5,-73.788,50.0204
190,-73.8985,50.004
192.5,-74.0067,49.9548
195,-74.1135,50.0204
197.5,-74.2193,50.004
200,-74.324,50.004
202.5,-74.4781,49.922
205,-74.6817,50.0367
207.5,-74.8801,47.0876
210,-75.0803,45.9407
212.5,-75.2773,45.9571
215,-75.4718,46.0063
217.5,-75.6635,45.6458
220,-75.8531,45.8424
222.5,-76.0375,43.7289
225,-76.2266,34.4556
227.5,-76.4095,34.4392
230,-76.5917,34.5211
232.5,-76.7708,34.39
235,-76.9485,34.3736
237.5,-77.1239,34.5539
240,-77.2968,34.4883
242.5,-77.4694,34.4556
245,-77.6402,34.5375
247.5,-77.8079,34.5702
250,-77.9741,34.4719
252.5,-78.1399,34.4228
255,-78.3031,34.4228
257.5,-78.4648,34.4228
260,-78.6251,34.39
262.5,-78.7838,34.4556
265,-78.9409,34.39
267.5,-79.0965,34.39
270,-79.2516,34.4719
272.5,-79.4042,34.4064
275,-79.5557,34.39
277.5,-79.7058,34.4064
280,-79.8543,34.3572
282.5,-80.0016,34.3245
285,-80.1477,34.2098
287.5,-80.2925,34.2426
290,-80.4351,33.751
292.5,-80.5783,22.954
295,-80.7194,22.9212
297.5,-80.8595,22.8721
300,-80.9981,23.0031
302.5,-81.1355,22.9704
305,-81.2715,23.0031
307.5,-81.4066,22.9376
310,-81.5409,22.954
312.5,-81.6745,22.954
315,-81.8065,22.9212
317.5,-81.936,22.4297
320,-100,0
322.5,-100,0
325,-100,0
327.5,-100,0
330,-100,0
332.5,-100,0
335,-100,0
337.5,-100,0
340,-100,0
342.5,-100,0
345,-100,0
347.5,-100,0
350,-100,0
352.5,-100,0
355,-100,0
357.5,-100,0
360,-100,0
362.5,-100,0
365,-100,0
367.5,-100,0
370,-100,0
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
