Distancia,RSS,Throughput
15,-53.4301,48.8899
17.5,-54.8678,49.9712
20,-56.1132,50.0204
22.5,-57.2011,49.9548
25,-58.1699,50.0204
27.5,-59.0397,50.004
30,-59.8302,49.9876
32.5,-60.5557,50.0204
35,-61.2252,50.004
37.5,-61.8466,49.9712
40,-62.4253,50.0204
42.5,-62.9688,50.004
45,-63.4807,50.004
47.5,-63.963,49.9876
50,-64.4202,50.0204
52.5,-64.855,50.004
55,-65.2689,49.9712
57.5,-65.6638,50.0204
60,-66.0417,49.9876
62.5,-66.4036,49.9876
65,-66.7514,50.0204
67.5,-67.0859,49.9712
70,-67.4076,50.004
72.5,-67.7179,50.0204
75,-68.0171,49.9712
77.5,-68.3065,50.0367
80,-68.587,50.0204
82.5,-68.8585,49.9712
85,-69.1219,49.9876
87.5,-69.3776,50.0204
90,-69.6258,49.9876
92.5,-69.8668,50.0204
95,-70.1016,49.9876
97.5,-70.3303,49.9876
100,-70.5532,50.0367
102.5,-70.7703,50.004
105,-70.982,49.9712
107.5,-71.1888,49.9712
110,-71.391,50.0204
112.5,-71.5885,50.0367
115,-71.7813,49.9712
117.5,-71.9704,50.004
120,-72.1555,49.9876
122.5,-72.3364,49.9876
125,-72.5136,50.0204
127.5,-72.6874,50.0204
130,-72.8576,49.9548
132.5,-73.0245,50.0367
135,-73.188,49.7582
137.5,-73.3488,50.0367
140,-73.5069,50.0204
142.5,-73.6619,49.9876
145,-73.8144,49.9876
147.5,-73.9642,50.0531
150,-74.1116,49.922
152.5,-74.2564,50.004
155,-74.3988,49.9712
157.5,-74.5391,50.0367
160,-74.677,50.004
162.5,-74.8115,48.7916
165,-74.9458,45.8424
167.5,-75.0766,45.7933
170,-75.2063,45.7769
172.5,-75.3346,45.9899
175,-75.4608,46.0227
177.5,-75.5846,45.8424
180,-75.7069,45.7441
182.5,-75.8275,45.6294
185,-75.9463,45.5639
187.5,-76.0617,43.2701
190,-76.1795,34.4556
192.5,-76.2941,34.5211
195,-76.4066,34.4719
197.5,-76.5179,34.4719
200,-76.6282,34.4883
202.5,-76.737,34.5539
205,-76.8439,34.4883
207.5,-76.9496,34.4883
210,-77.0547,34.4064
212.5,-77.1581,34.4719
215,-77.2601,34.3736
217.5,-77.3611,34.5047
220,-77.4607,34.5539
222.5,-77.5595,34.5539
225,-77.6575,34.4228
227.5,-77.7545,34.5047
230,-77.8497,34.39
232.5,-77.9438,34.4064
235,-78.0369,34.4883
237.5,-78.1298,34.4392
240,-78.2211,34.4064
242.5,-78.3116,34.5211
245,-78.4015,34.39
247.5,-78.49,34.39
250,-78.5774,34.4064
252.5,-78.6642,34.4392
255,-78.7506,34.4064
257.5,-78.8357,34.3736
260,-78.92,34.5375
262.5,-79.0037,34.5375
265,-79.0862,34.4719
267.5,-79.168,34.4719
270,-79.2492,34.3572
272.5,-79.3295,34.5211
275,-79.4095,34.3572
277.5,-79.4884,34.4556
280,-79.5665,34.4392
282.5,-79.6443,34.5375
285,-79.7213,34.5047
287.5,-79.7974,34.4556
290,-79.8727,34.4228
292.5,-79.9479,34.4392
295,-80.0221,34.3081
297.5,-80.0957,34.3572
300,-80.1686,34.39
302.5,-80.2408,34.177
305,-80.3131,34.2917
307.5,-80.3841,34.1279
310,-80.4546,34.0623
312.5,-80.5226,24.9201
315,-80.5944,22.9376
317.5,-80.6632,22.9048
320,-80.7315,23.0359
322.5,-80.7992,23.0195
325,-80.8668,22.9212
327.5,-80.9336,23.0031
330,-80.9998,22.9376
332.5,-81.0658,22.9868
335,-81.131,23.0195
337.5,-81.1958,22.9212
340,-81.2603,23.0195
342.5,-81.3241,22.954
345,-81.3873,23.0523
347.5,-81.4505,22.9048
350,-81.513,22.9704
352.5,-81.5749,22.9704
355,-81.6365,22.9704
357.5,-81.6976,22.9212
360,-81.7585,22.9048
362.5,-81.8188,22.8884
365,-81.8789,22.9212
367.5,-81.9384,22.954
370,-81.984,12.3208
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
