Distancia,RSS,Throughput
15,-65,49.1684
17.5,-65,49.9876
20,-65,50.0204
22.5,-65,49.9876
25,-65,49.9876
27.5,-65,50.0204
30,-65,50.004
32.5,-65,49.9712
35,-65,50.0204
37.5,-65,49.9876
40,-65,50.0204
42.5,-65,49.9712
45,-65,50.0531
47.5,-65,49.9712
50,-65,50.0204
52.5,-65,49.9712
55,-65,50.004
57.5,-65,49.9876
60,-65,50.004
62.5,-65,50.0204
65,-65,49.9876
67.5,-65,50.004
70,-65,49.9876
72.5,-65,50.004
75,-65,50.004
77.5,-65,50.0204
80,-65,49.9876
82.5,-65,49.9876
85,-65,50.004
87.5,-65,49.9712
90,-65,50.0531
92.5,-65,49.9384
95,-65,50.0531
97.5,-65,49.9548
100,-65,50.0204
102.5,-65,50.004
105,-65,50.004
107.5,-65,50.0204
110,-65,49.9548
112.5,-65,50.0367
115,-65,49.9712
117.5,-65,50.0367
120,-65,50.004
122.5,-65,49.9876
125,-65,49.9712
127.5,-65,50.0367
130,-65,50.004
132.5,-65,49.9712
135,-65,50.004
137.5,-65,50.0204
140,-65,49.9876
142.5,-65,49.9876
145,-65,50.004
147.5,-65,49.9876
150,-65,50.0204
152.5,-65,50.004
155,-65,49.9712
157.5,-65,50.0204
160,-65,49.9712
162.5,-65,50.0204
165,-65,50.004
167.5,-65,50.004
170,-65,49.9876
172.5,-65,50.004
175,-65,50.0204
177.5,-65,49.9712
180,-65,50.0204
182.5,-65,50.0204
185,-65,49.9548
187.5,-65,50.004
190,-65,50.0204
192.5,-65,49.9876
195,-65,50.004
197.5,-65,50.0367
200,-65,49.9548
202.5,-65,50.0367
205,-65,49.9548
207.5,-65,50.0204
210,-65,49.9712
212.5,-65,50.0531
215,-65,49.9876
217.5,-65,50.004
220,-65,49.9712
222.5,-65,50.0204
225,-65,49.9712
227.5,-65,50.0204
230,-65,50.0204
232.5,-65,49.9712
235,-65,50.004
237.5,-65,50.0204
240,-65,49.9876
242.5,-65,49.9712
245,-65,50.0204
247.5,-65,50.004
250,-65,50.0204
252.5,-65,49.9548
255,-65,50.0204
257.5,-65,50.004
260,-65,49.9876
262.5,-65,50.0695
265,-65,49.9548
267.5,-65,49.9876
270,-65,50.0204
272.5,-65,49.9876
275,-65,49.9876
277.5,-65,50.004
280,-65,50.004
282.5,-65,49.9712
285,-65,50.0204
287.5,-65,49.9876
290,-65,50.0367
292.5,-65,49.9548
295,-65,50.0367
297.5,-65,49.9712
300,-65,50.0367
302.5,-65,49.9712
305,-65,50.004
307.5,-65,50.0367
310,-65,49.9876
312.5,-65,49.9712
315,-65,50.0531
317.5,-65,49.9548
320,-65,50.004
322.5,-65,50.004
325,-65,49.9548
327.5,-65,50.0531
330,-65,49.9876
332.5,-65,49.9876
335,-65,50.0367
337.5,-65,49.9876
340,-65,49.9712
342.5,-65,50.0531
345,-65,49.9876
347.5,-65,49.9548
350,-65,50.004
352.5,-65,50.0204
355,-65,50.004
357.5,-65,49.9712
360,-65,50.0204
362.5,-65,50.004
365,-65,50.004
367.5,-65,50.0204
370,-65,49.9712
372.5,-65,50.004
375,-65,50.004
377.5,-65,50.0531
380,-65,49.9057
382.5,-65,50.004
385,-65,50.0531
387.5,-65,49.9712
390,-65,50.0204
392.5,-65,49.9876
395,-65,50.004
397.5,-65,49.9876
400,-65,50.0204
402.5,-65,49.9712
405,-65,50.004
407.5,-65,50.0531
410,-65,49.9876
412.5,-65,49.9876
415,-65,49.9876
417.5,-65,49.9712
420,-65,50.004
422.5,-65,50.0367
425,-65,50.0204
427.5,-65,49.9384
430,-65,50.0531
432.5,-65,49.9876
435,-65,49.9876
437.5,-65,50.0204
440,-65,49.9712
442.5,-65,50.004
445,-65,50.0204
447.5,-65,49.9876
450,-65,49.9712
452.5,-65,50.0367
455,-65,50.004
457.5,-65,49.9548
460,-65,50.004
462.5,-65,50.0204
465,-65,50.004
467.5,-65,49.9712
470,-65,50.0531
472.5,-65,49.9712
475,-65,49.9712
477.5,-65,50.004
480,-65,50.0367
482.5,-65,49.9876
485,-65,50.0367
487.5,-65,50.004
490,-65,49.9548
492.5,-65,50.0367
495,-65,49.9384
497.5,-65,50.0367
500,-65,49.9876
502.5,-65,50.0204
505,-65,49.9712
507.5,-65,50.0367
