Distancia,RSS,Throughput
15,-52.2813,49.1848
17.5,-53.6515,49.9876
20,-54.8348,49.9876
22.5,-55.8689,49.9876
25,-56.7886,50.004
27.5,-57.6153,50.0204
30,-58.3663,50.004
32.5,-59.0544,49.9876
35,-59.6908,50.0367
37.5,-60.2817,49.9876
40,-60.8314,49.9876
42.5,-61.3467,50.004
45,-61.8329,49.9876
47.5,-62.2922,49.9876
50,-62.7267,50.0204
52.5,-63.1393,49.9876
55,-63.5322,50.0204
57.5,-63.9076,49.9876
60,-64.2668,49.9712
62.5,-64.6109,50.0367
65,-64.9411,49.9712
67.5,-65.2583,50.004
70,-65.5638,49.9712
72.5,-65.8587,50.0204
75,-66.1436,50.0204
77.5,-66.4185,49.9876
80,-66.6846,50.0204
82.5,-66.9426,49.9876
85,-67.1928,50.004
87.5,-67.4359,50.0367
90,-67.6715,49.9876
92.5,-67.9006,49.9548
95,-68.1235,50.0204
97.5,-68.3407,50.004
100,-68.5524,49.9876
102.5,-68.7588,50.0204
105,-68.9604,49.9876
107.5,-69.1566,49.9876
110,-69.3483,50.0204
112.5,-69.5359,50.0204
115,-69.7194,50.004
117.5,-69.8988,49.9876
120,-70.0746,49.9876
122.5,-70.2467,50.004
125,-70.4148,49.9876
127.5,-70.5797,50.0204
130,-70.7417,49.9548
132.5,-70.9003,50.0367
135,-71.0559,49.9876
137.5,-71.2087,49.9712
140,-71.359,50.0531
142.5,-71.5063,49.9712
145,-71.6509,50.004
147.5,-71.7934,50.004
150,-71.9333,50.004
152.5,-72.0708,49.9876
155,-72.2062,50.004
157.5,-72.3393,49.9876
160,-72.4702,50.0204
162.5,-72.5989,49.9876
165,-72.7259,50.004
167.5,-72.8511,49.9876
170,-72.9743,50.004
172.5,-73.0957,50.004
175,-73.215,49.7746
177.5,-73.3328,50.0531
180,-73.4491,50.0367
182.5,-73.5634,49.9548
185,-73.6766,49.9876
187.5,-73.7882,50.004
190,-73.8981,50.004
192.5,-74.0066,50.004
195,-74.1139,49.9548
197.5,-74.2199,50.004
200,-74.3245,50.0367
202.5,-74.4786,49.9876
205,-74.6822,49.9876
207.5,-74.8814,47.0548
210,-75.0813,45.908
212.5,-75.2777,45.9407
215,-75.4725,45.8752
217.5,-75.6639,45.908
220,-75.8531,45.6458
222.5,-76.0374,43.5487
225,-76.2259,34.4392
227.5,-76.4097,34.6358
230,-76.5916,34.39
232.5,-76.7712,34.3081
235,-76.9479,34.4556
237.5,-77.1233,34.4556
240,-77.2976,34.4556
242.5,-77.4697,34.39
245,-77.6398,34.3736
247.5,-77.8081,34.4228
250,-77.9751,34.39
252.5,-78.1399,34.4883
255,-78.303,34.4556
257.5,-78.4654,34.5047
260,-78.6252,34.4392
262.5,-78.7836,34.5866
265,-78.9405,34.3245
267.5,-79.0963,34.3736
270,-79.2513,34.4228
272.5,-79.4041,34.4556
275,-79.5553,34.4719
277.5,-79.7056,34.5375
280,-79.8539,34.4228
282.5,-80.0011,34.2426
285,-80.1473,34.2917
287.5,-80.2919,34.1279
290,-80.4347,33.7674
292.5,-80.5779,22.9212
295,-80.7197,23.0031
297.5,-80.859,22.9868
300,-80.9975,22.9868
302.5,-81.1349,22.9048
305,-81.2713,22.9704
307.5,-81.4065,22.9212
310,-81.5409,22.9376
312.5,-81.674,22.9212
315,-81.8059,22.9868
317.5,-81.9358,22.4133
320,-100,0
322.5,-100,0
325,-100,0
327.5,-100,0
330,-100,0
332.5,-100,0
335,-100,0
337.5,-100,0
340,-100,0
342.5,-100,0
345,-100,0
347.5,-100,0
350,-100,0
352.5,-100,0
355,-100,0
357.5,-100,0
360,-100,0
362.5,-100,0
365,-100,0
367.5,-100,0
370,-100,0
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
