Distancia,RSS,Throughput
15,14.4172,49.5944
17.5,14.5947,49.9876
20,14.4496,50.004
22.5,14.5737,50.004
25,14.5051,49.9712
27.5,14.2035,50.004
30,14.1076,50.0204
32.5,14.7408,49.9876
35,14.3819,49.9876
37.5,14.2242,50.0367
40,14.0762,49.9876
42.5,14.1608,50.004
45,14.1404,49.9712
47.5,14.7272,50.0367
50,14.232,49.9876
52.5,14.6219,50.0204
55,14.2211,49.9876
57.5,14.3951,50.004
60,13.6706,49.9712
62.5,15.0453,50.0204
65,14.2509,50.0204
67.5,14.7708,49.9548
70,14.5945,50.0204
72.5,14.438,49.9876
75,14.2046,50.004
77.5,14.8708,50.004
80,14.4487,50.004
82.5,12.6701,50.0204
85,12.8359,49.9712
87.5,12.8122,49.9876
90,12.7417,50.0204
92.5,12.0739,49.9876
95,12.4986,49.9876
97.5,12.8227,49.9876
100,12.6634,50.0531
102.5,12.8024,49.9548
105,12.9659,50.0695
107.5,12.7724,50.004
110,12.3034,49.9384
112.5,12.6172,50.004
115,12.5915,49.9876
117.5,12.4014,50.0204
120,11.97,50.004
122.5,12.4428,49.9876
125,12.3319,49.9876
127.5,12.3311,50.0204
130,12.3932,49.9876
132.5,12.2912,50.004
135,12.1149,50.004
137.5,12.596,49.9876
140,11.7678,50.004
142.5,12.9424,49.9876
145,12.6572,50.004
147.5,12.8192,50.0204
150,12.8922,49.9876
152.5,12.3211,50.0204
155,11.5797,49.9876
157.5,12.0613,50.0204
160,12.6131,50.004
162.5,12.3136,50.0204
165,12.3786,49.9548
167.5,12.7488,49.9876
170,12.0809,49.9876
172.5,11.8804,50.004
175,12.89,50.004
177.5,12.5774,50.0204
180,13.0853,50.004
182.5,12.0534,49.9712
185,12.471,50.0204
187.5,12.4176,50.0204
190,13.3228,49.9876
192.5,12.4629,49.9876
195,12.4553,50.004
197.5,12.7236,50.0204
200,12.5388,50.004
202.5,12.6494,50.004
205,12.6336,49.9548
207.5,12.528,50.0204
210,12.5795,50.004
212.5,13.0012,49.9876
215,13.16,50.004
217.5,12.9055,50.0367
220,12.5936,49.9712
222.5,12.8161,49.9876
225,12.8714,50.0204
227.5,12.1357,50.0204
230,12.4429,49.9548
232.5,11.9285,50.0204
235,12.1817,49.9876
237.5,13.2085,49.9876
240,12.5111,50.0367
242.5,12.6933,49.9876
245,12.0385,50.004
247.5,11.8005,50.004
250,12.9956,49.9876
252.5,13.1175,50.004
255,12.9834,49.9712
257.5,12.7101,50.0204
260,12.0531,50.004
262.5,12.8696,49.9876
265,12.9152,50.004
267.5,12.9755,50.0204
270,13.302,49.9548
272.5,12.997,50.0367
275,12.6829,49.9712
277.5,11.8629,49.9876
280,12.7487,50.0204
282.5,13.3014,49.9876
285,12.764,50.0204
287.5,13.2096,49.9712
290,12.5025,50.0367
292.5,12.9765,50.004
295,12.6078,50.004
297.5,12.2044,50.004
300,12.7105,49.9876
302.5,13.0804,49.9876
305,11.8276,50.004
307.5,12.6049,49.9876
310,12.4828,50.0204
312.5,12.5836,50.0367
315,12.8627,49.9384
317.5,12.396,50.0204
320,12.029,50.0367
322.5,12.145,49.9712
325,12.3696,50.0204
327.5,11.6694,49.9876
330,12.5437,49.9712
332.5,12.6858,50.004
335,12.6906,50.0204
337.5,12.9611,49.9876
340,13.5727,50.004
342.5,12.4686,50.004
345,13.0785,50.0204
347.5,12.9612,49.9876
350,12.0481,49.9876
352.5,12.1871,50.0367
355,12.6819,49.9712
357.5,13.0013,49.9876
360,12.6174,49.9876
362.5,12.5683,50.004
365,11.8761,50.0531
367.5,13.1054,49.9712
370,12.1398,49.9876
372.5,12.5847,49.9876
375,11.9752,50.0367
377.5,12.6994,50.0204
380,12.1432,49.9712
382.5,11.8192,50.004
385,13.1636,50.004
387.5,12.7919,49.9548
390,12.8092,50.0204
392.5,12.2714,50.004
395,12.4958,50.004
397.5,12.0052,49.9712
400,12.3433,50.0204
402.5,11.9804,49.9876
405,12.2239,50.0204
407.5,13.1176,49.9712
410,12.7676,49.9876
412.5,12.5146,50.0204
415,11.768,50.004
417.5,12.7259,50.004
420,12.63,50.0204
422.5,12.2911,50.0204
425,12.4619,49.9876
427.5,12.8908,49.9712
430,12.1468,50.0204
432.5,11.7936,49.9876
435,12.4057,49.9876
437.5,12.3838,50.0367
440,12.4896,49.9384
442.5,12.3421,50.0695
445,13.052,49.9548
447.5,12.616,50.0204
450,12.6064,49.9876
452.5,12.6576,50.0531
455,12.8135,49.9384
457.5,12.4736,50.004
460,12.6717,50.0204
462.5,12.2464,49.9876
465,12.6326,50.0204
467.5,11.9063,49.9876
470,12.6614,50.004
472.5,13.3846,49.9876
475,12.6509,50.0204
477.5,12.091,49.9876
480,12.2928,49.9876
482.5,12.4786,50.0204
485,12.8405,49.9876
487.5,12.4543,49.9876
490,12.5412,50.0204
492.5,12.7169,49.9712
495,12.5015,50.0204
497.5,12.9282,50.0204
500,12.2721,49.9876
502.5,12.5745,49.9712
505,12.0016,50.0204
507.5,11.5952,50.004
